trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-233.21795930876732,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-74.90777816432644,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-106.45986990010951,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-99.16782671989729,"{0: 13, 1: 8, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-118.56456224992363,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-80.76474941990796,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-68.86343174542334,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,15,-3.0635628976163307,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-118.8417614338928,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-30.288260229221,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-144.8977814621691,"{0: 13, 1: 7, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-73.47569153359962,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-45.52191949871684,"{0: 14, 1: 10, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-34.7611835025809,"{0: 20, 1: 9, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-16.710272906635364,"{0: 18, 1: 6, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-47.94844905097662,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-109.29846550280644,"{0: 9, 1: 8, 2: 0, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-17.360949740508048,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-23.05659296694701,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-39.54916955207859,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.373366407751217,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-25.24217231897297,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-37.36813267082952,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.469310748498877,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.258282508289156,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-51.52120781390103,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-7.63538150016403,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-21.90198950170584,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-7.938849811028511,"{0: 22, 1: 8, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-31.795616005929094,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
