trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-78.89695314616006,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,8,-95.43220569907572,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,2,-153.48824151218867,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 2}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-86.29610291514354,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-115.8680749706775,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-36.725262039895206,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-23.85218742297878,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,21,-0.39096165348533685,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-197.45705657821156,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-137.41929554240008,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-223.41569386609478,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-51.95927105337058,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-80.82382323390138,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-142.41662247981134,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-113.81760271981872,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-50.17506882341586,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-76.14959206452741,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-149.679340867995,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-163.78640826156797,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-192.32283757537962,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-244.61132100732237,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-69.78208396650864,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-93.23366287611714,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-75.69886619853581,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-130.51962989456788,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
