trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.913557496589856,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.92532649354764,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.71384292584774,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.44628992002657,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.5618396048691,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,2,-170.3396805282945,"{0: 8, 1: 0, 2: 6, 3: 2, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.89618882058105,"{0: 20, 1: 3, 2: 8, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.05250773651252,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.46989416805647,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.92723200803803,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.88331124637992,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.72314999537255,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,1,-183.839046736497,"{0: 7, 1: 3, 2: 6, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-217.94352382088059,"{0: 19, 1: 5, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.8561130654884,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.93692968050357,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.16577855764508,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.9742817180614,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.73525895484231,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.10382712198042,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.45580800762043,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-24.72063632272593,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.8007900698761,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-205.0482261058924,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.62417078150763,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,3,-49.03007200730272,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.7820098098738,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.0640505725223,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.28431221356028,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-266.7827274760488,"{0: 12, 1: 8, 2: 4, 3: 2, 4: 4}",0
